t_us,t_s,t_rel,ax,ay,az,gx,gy,gz
1228114169,1228.114169,0.663879,0.560,0.010,0.940,12.050,2.050,1.270
1228120240,1228.120240,0.669950,0.560,0.010,0.940,12.090,2.240,1.210
1228127189,1228.127189,0.676899,0.560,0.010,0.940,11.740,2.180,1.420
1228134206,1228.134206,0.683916,0.560,0.020,0.940,11.860,2.110,1.340
1228140129,1228.140129,0.689839,0.560,0.020,0.940,12.140,2.110,1.280
1228146162,1228.146162,0.695872,0.560,0.020,0.940,11.830,2.050,1.450
1228155819,1228.155819,0.705529,0.560,0.010,0.940,11.950,2.080,1.340
1228162164,1228.162164,0.711874,0.560,0.020,0.940,12.060,2.140,1.440
1228168309,1228.168309,0.718019,0.560,0.010,0.940,11.790,2.310,1.440
1228174171,1228.174171,0.723881,0.570,0.010,0.940,11.950,2.260,1.400
1228181189,1228.181189,0.730899,0.570,0.020,0.950,11.940,2.120,1.370
1228189500,1228.189500,0.739210,0.570,0.010,0.940,11.530,2.110,1.310
1228197028,1228.197028,0.746738,0.560,0.010,0.950,12.060,2.260,1.330
1228203178,1228.203178,0.752888,0.560,0.020,0.950,11.970,2.140,1.190
1228209344,1228.209344,0.759054,0.560,0.010,0.950,11.910,2.170,1.450
1228215328,1228.215328,0.765038,0.560,0.010,0.940,12.000,2.120,1.240
1228222194,1228.222194,0.771904,0.570,0.010,0.950,11.980,2.180,1.440
1228229560,1228.229560,0.779270,0.570,0.020,0.950,11.790,2.400,1.500
1228236201,1228.236201,0.785911,0.560,0.010,0.940,11.860,2.320,1.390
1228242155,1228.242155,0.791865,0.570,0.010,0.940,12.120,2.150,1.300
1228248411,1228.248411,0.798121,0.560,0.020,0.940,11.890,2.060,1.480
1228255378,1228.255378,0.805088,0.560,0.010,0.940,11.920,2.080,1.400
1228262999,1228.262999,0.812709,0.560,0.010,0.950,11.940,2.210,1.420
1228271199,1228.271199,0.820909,0.550,0.010,0.940,11.770,2.270,1.360
1228277859,1228.277859,0.827569,0.560,0.020,0.940,11.800,2.170,1.450
1228284190,1228.284190,0.833900,0.560,0.010,0.940,11.980,2.290,1.360
1228290179,1228.290179,0.839889,0.560,0.020,0.950,11.860,2.200,1.370
1228297417,1228.297417,0.847127,0.570,0.020,0.930,11.850,2.110,1.400
1228306689,1228.306689,0.856399,0.570,0.020,0.950,11.910,2.110,1.390
1228313164,1228.313164,0.862874,0.560,0.010,0.950,11.730,2.110,1.220
1228319169,1228.319169,0.868879,0.570,0.010,0.950,11.730,2.320,1.270
1228325173,1228.325173,0.874883,0.570,0.010,0.940,12.060,2.400,1.310
1228331807,1228.331807,0.881517,0.560,0.020,0.940,12.020,2.120,1.300
1228338204,1228.338204,0.887914,0.550,0.010,0.930,11.800,2.270,1.270
1228348192,1228.348192,0.897902,0.560,0.010,0.940,11.950,2.200,1.280
1228355165,1228.355165,0.904875,0.560,0.020,0.930,11.830,2.050,1.360
1228361271,1228.361271,0.910981,0.560,0.010,0.940,11.860,2.170,1.420
1228368178,1228.368178,0.917888,0.570,0.010,0.960,12.200,2.150,1.420
1228374174,1228.374174,0.923884,0.560,0.010,0.940,12.020,2.200,1.400
1228380699,1228.380699,0.930409,0.560,0.020,0.940,11.850,2.200,1.340
1228387152,1228.387152,0.936862,0.560,0.010,0.950,11.980,2.140,1.420
