t_us,t_s,t_rel,ax,ay,az,gx,gy,gz
8887042904,8887.042904,0.000000,0.300,0.290,1.040,11.540,1.510,1.180
8887051921,8887.051921,0.009017,0.300,0.280,1.030,11.480,1.560,1.340
8887061093,8887.061093,0.018189,0.300,0.290,1.030,11.570,1.560,1.420
8887066845,8887.066845,0.023941,0.300,0.290,1.030,11.440,1.660,1.250
8887073889,8887.073889,0.030985,0.300,0.280,1.040,11.510,1.590,1.180
8887083023,8887.083023,0.040119,0.300,0.290,1.030,11.480,1.570,1.300
8887088822,8887.088822,0.045918,0.300,0.280,1.040,11.540,1.420,1.360
8887094804,8887.094804,0.051900,0.300,0.290,1.030,11.480,1.570,1.180
8887103018,8887.103018,0.060114,0.300,0.290,1.030,11.480,1.630,1.390
8887109843,8887.109843,0.066939,0.300,0.280,1.030,11.510,1.530,1.310
8887144886,8887.144886,0.101982,0.300,0.290,1.030,11.500,1.630,1.470
8887150854,8887.150854,0.107950,0.300,0.290,1.030,11.570,1.510,1.340
8887159867,8887.159867,0.116963,0.300,0.290,1.030,11.450,1.530,1.150
8887166339,8887.166339,0.123435,0.300,0.290,1.040,11.440,1.540,1.330
8887173525,8887.173525,0.130621,0.310,0.290,1.040,11.560,1.630,1.240
8887179959,8887.179959,0.137055,0.300,0.300,1.030,11.680,1.730,1.010
8887185996,8887.185996,0.143092,0.310,0.290,1.030,11.370,1.680,1.220
8887191970,8887.191970,0.149066,0.300,0.280,1.040,11.370,1.600,1.220
8887197812,8887.197812,0.154908,0.300,0.280,1.030,11.470,1.630,1.190
8887203796,8887.203796,0.160892,0.300,0.290,1.040,11.390,1.600,1.450
8887209849,8887.209849,0.166945,0.300,0.290,1.030,11.470,1.510,1.300
8887215847,8887.215847,0.172943,0.300,0.290,1.040,11.570,1.570,1.270
8887268035,8887.268035,0.225131,0.300,0.290,1.030,11.440,1.600,1.240
8887273892,8887.273892,0.230988,0.300,0.290,1.030,11.450,1.630,1.270
8887279816,8887.279816,0.236912,0.300,0.280,1.040,11.440,1.570,1.190
8887285846,8887.285846,0.242942,0.300,0.290,1.030,11.630,1.450,1.440
8887306059,8887.306059,0.263155,0.290,0.290,1.030,11.600,1.600,1.240
8887311874,8887.311874,0.268970,0.310,0.280,1.030,11.630,1.630,1.510
8887318918,8887.318918,0.276014,0.300,0.290,1.040,11.620,1.660,1.390
8887325853,8887.325853,0.282949,0.300,0.290,1.040,11.540,1.500,1.360
8887331818,8887.331818,0.288914,0.300,0.280,1.030,11.480,1.570,1.250
8887337841,8887.337841,0.294937,0.300,0.290,1.030,11.540,1.540,1.280
8887343800,8887.343800,0.300896,0.300,0.290,1.030,11.480,1.740,1.220
8887349851,8887.349851,0.306947,0.300,0.290,1.030,11.470,1.470,1.180
8887361927,8887.361927,0.319023,0.300,0.290,1.030,11.420,1.510,1.240
8887369095,8887.369095,0.326191,0.300,0.290,1.030,11.470,1.530,1.390
8887377071,8887.377071,0.334167,0.300,0.290,1.040,11.470,1.730,1.370
8887384059,8887.384059,0.341155,0.310,0.290,1.030,11.540,1.570,1.220
8887389873,8887.389873,0.346969,0.290,0.290,1.030,11.500,1.500,1.310
8887396838,8887.396838,0.353934,0.310,0.290,1.050,11.620,1.480,1.310
8887404318,8887.404318,0.361414,0.300,0.290,1.030,11.450,1.680,1.130
8887410853,8887.410853,0.367949,0.300,0.280,1.040,11.630,1.570,1.220
8887416842,8887.416842,0.373938,0.300,0.290,1.040,11.570,1.480,1.240
8887422926,8887.422926,0.380022,0.300,0.290,1.040,11.530,1.710,1.340
8887428820,8887.428820,0.385916,0.300,0.280,1.030,11.710,1.620,1.400
8887435220,8887.435220,0.392316,0.300,0.290,1.040,11.600,1.680,1.160
8887442874,8887.442874,0.399970,0.310,0.290,1.040,11.510,1.500,1.310
8887448800,8887.448800,0.405896,0.300,0.290,1.040,11.510,1.620,1.400
8887464013,8887.464013,0.421109,0.310,0.290,1.030,11.560,1.650,1.440
8887470974,8887.470974,0.428070,0.300,0.280,1.040,11.600,1.690,1.270
8887476831,8887.476831,0.433927,0.300,0.290,1.030,11.510,1.450,1.270
8887483866,8887.483866,0.440962,0.300,0.290,1.040,11.500,1.530,1.360
8887489816,8887.489816,0.446912,0.300,0.290,1.030,11.500,1.560,1.250
8887496042,8887.496042,0.453138,0.300,0.280,1.030,11.390,1.620,1.370
8887546851,8887.546851,0.503947,0.310,0.290,1.040,11.470,1.690,1.150
8887559880,8887.559880,0.516976,0.310,0.280,1.030,11.440,1.560,1.240
8887565843,8887.565843,0.522939,0.300,0.280,1.030,11.590,1.590,1.390
8887571839,8887.571839,0.528935,0.310,0.290,1.040,11.470,1.660,1.400
8887578107,8887.578107,0.535203,0.300,0.290,1.040,11.470,1.530,1.300
8887583895,8887.583895,0.540991,0.310,0.290,1.030,11.570,1.660,1.280
8887590347,8887.590347,0.547443,0.300,0.280,1.040,11.400,1.650,1.420
8887596868,8887.596868,0.553964,0.300,0.290,1.030,11.500,1.600,1.300
8887602820,8887.602820,0.559916,0.300,0.280,1.030,11.620,1.650,1.310
8887608798,8887.608798,0.565894,0.300,0.280,1.030,11.470,1.680,1.440
8887664907,8887.664907,0.622003,0.300,0.290,1.030,11.480,1.570,1.420
8887672878,8887.672878,0.629974,0.300,0.290,1.040,11.600,1.630,1.400
8887679881,8887.679881,0.636977,0.310,0.280,1.030,11.440,1.600,1.240
8887688553,8887.688553,0.645649,0.300,0.290,1.030,11.450,1.570,1.280
8887694873,8887.694873,0.651969,0.300,0.290,1.030,11.500,1.510,1.280
8887701050,8887.701050,0.658146,0.300,0.290,1.040,11.500,1.510,1.180
8887706964,8887.706964,0.664060,0.300,0.290,1.040,11.530,1.510,1.310
8887713957,8887.713957,0.671053,0.300,0.290,1.030,11.570,1.530,1.180
8887720052,8887.720052,0.677148,0.300,0.290,1.030,11.470,1.560,1.190
8887725848,8887.725848,0.682944,0.300,0.290,1.030,11.530,1.420,1.450
8887731890,8887.731890,0.688986,0.300,0.290,1.040,11.630,1.540,1.310
8887737910,8887.737910,0.695006,0.300,0.290,1.020,11.630,1.620,1.340
8887744867,8887.744867,0.701963,0.310,0.290,1.030,11.530,1.760,1.390
8887754139,8887.754139,0.711235,0.300,0.290,1.040,11.530,1.390,1.310
8887761874,8887.761874,0.718970,0.300,0.280,1.040,11.530,1.740,1.250
8887767858,8887.767858,0.724954,0.300,0.290,1.030,11.390,1.730,1.240
8887773857,8887.773857,0.730953,0.300,0.280,1.030,11.630,1.570,1.360
8887780229,8887.780229,0.737325,0.300,0.290,1.030,11.400,1.540,1.340
8887786933,8887.786933,0.744029,0.300,0.290,1.040,11.420,1.510,1.280
8887796047,8887.796047,0.753143,0.310,0.280,1.030,11.390,1.390,1.330
8887801864,8887.801864,0.758960,0.300,0.280,1.030,11.420,1.690,1.280
8887807893,8887.807893,0.764989,0.310,0.280,1.040,11.530,1.690,1.500
8887814102,8887.814102,0.771198,0.300,0.290,1.040,11.560,1.560,1.360
8887820870,8887.820870,0.777966,0.310,0.290,1.030,11.480,1.530,1.360
8887827985,8887.827985,0.785081,0.300,0.280,1.040,11.510,1.600,1.500
8887834851,8887.834851,0.791947,0.300,0.280,1.040,11.510,1.620,1.330
8887840862,8887.840862,0.797958,0.310,0.280,1.030,11.370,1.710,1.370
8887846853,8887.846853,0.803949,0.310,0.280,1.040,11.420,1.360,1.270
8887853170,8887.853170,0.810266,0.300,0.290,1.030,11.420,1.600,1.240
8887859938,8887.859938,0.817034,0.300,0.290,1.030,11.570,1.530,1.110
8887866868,8887.866868,0.823964,0.300,0.290,1.030,11.660,1.690,1.280
8887874197,8887.874197,0.831293,0.300,0.290,1.040,11.590,1.680,1.270
8887880876,8887.880876,0.837972,0.300,0.290,1.040,11.500,1.540,1.270
8887887066,8887.887066,0.844162,0.300,0.290,1.030,11.560,1.340,1.330
8887894361,8887.894361,0.851457,0.300,0.290,1.040,11.440,1.440,1.220
8887901225,8887.901225,0.858321,0.300,0.280,1.040,11.530,1.760,1.250
8887908967,8887.908967,0.866063,0.300,0.280,1.030,11.570,1.590,1.280
8887915845,8887.915845,0.872941,0.310,0.290,1.030,11.530,1.540,1.310
8887921826,8887.921826,0.878922,0.300,0.290,1.040,11.560,1.510,1.370
8887929364,8887.929364,0.886460,0.300,0.280,1.030,11.620,1.630,1.280
8887936062,8887.936062,0.893158,0.310,0.290,1.040,11.540,1.660,1.240
8887942841,8887.942841,0.899937,0.300,0.290,1.030,11.400,1.420,1.330
8887948859,8887.948859,0.905955,0.300,0.290,1.050,11.420,1.450,1.330
8887958507,8887.958507,0.915603,0.300,0.280,1.040,11.470,1.680,1.420
8887964852,8887.964852,0.921948,0.300,0.280,1.030,11.450,1.560,1.450
8887970865,8887.970865,0.927961,0.300,0.280,1.030,11.370,1.730,1.110
8887976848,8887.976848,0.933944,0.310,0.280,1.030,11.270,1.690,1.180
8887982869,8887.982869,0.939965,0.300,0.290,1.030,11.600,1.620,1.480
8887989756,8887.989756,0.946852,0.310,0.290,1.040,11.510,1.650,1.370
8887995885,8887.995885,0.952981,0.300,0.280,1.030,11.450,1.560,1.280
8888004028,8888.004028,0.961124,0.300,0.280,1.040,11.470,1.450,1.370
8888010859,8888.010859,0.967955,0.300,0.280,1.030,11.530,1.620,1.370
8888017559,8888.017559,0.974655,0.300,0.290,1.030,11.470,1.540,1.310
8888023832,8888.023832,0.980928,0.300,0.280,1.040,11.480,1.650,1.210
8888030314,8888.030314,0.987410,0.300,0.290,1.030,11.540,1.630,1.420
8888038059,8888.038059,0.995155,0.300,0.280,1.030,11.540,1.510,1.360
8888043819,8888.043819,1.000915,0.300,0.280,1.040,11.420,1.560,1.280
8888049864,8888.049864,1.006960,0.300,0.280,1.040,11.390,1.500,1.110
8888055859,8888.055859,1.012955,0.300,0.280,1.040,11.440,1.560,1.330
8888061847,8888.061847,1.018943,0.300,0.280,1.030,11.570,1.630,1.330
8888068851,8888.068851,1.025947,0.300,0.280,1.040,11.420,1.590,1.190
8888075958,8888.075958,1.033054,0.300,0.290,1.030,11.420,1.600,1.310
8888081865,8888.081865,1.038961,0.300,0.280,1.020,11.330,1.590,1.220
8888087877,8888.087877,1.044973,0.300,0.280,1.030,11.390,1.730,1.340
8888093952,8888.093952,1.051048,0.290,0.290,1.040,11.620,1.590,1.190
8888099862,8888.099862,1.056958,0.300,0.290,1.040,11.420,1.500,1.190
8888107897,8888.107897,1.064993,0.300,0.290,1.040,11.620,1.660,1.300
8888114864,8888.114864,1.071960,0.310,0.290,1.040,11.540,1.570,1.190
8888122328,8888.122328,1.079424,0.300,0.290,1.040,11.600,1.710,1.360
8888128862,8888.128862,1.085958,0.300,0.290,1.040,11.590,1.420,1.400
8888134846,8888.134846,1.091942,0.310,0.290,1.030,11.400,1.450,1.210
8888140848,8888.140848,1.097944,0.300,0.280,1.040,11.600,1.530,1.220
8888146859,8888.146859,1.103955,0.300,0.290,1.040,11.480,1.600,1.300
8888154081,8888.154081,1.111177,0.300,0.290,1.030,11.480,1.470,1.330
8888162906,8888.162906,1.120002,0.300,0.290,1.030,11.500,1.510,1.310
8888169854,8888.169854,1.126950,0.300,0.290,1.040,11.280,1.560,1.280
8888175983,8888.175983,1.133079,0.300,0.290,1.030,11.530,1.570,1.400
8888181941,8888.181941,1.139037,0.310,0.290,1.030,11.510,1.600,1.240
8888188155,8888.188155,1.145251,0.300,0.290,1.040,11.480,1.620,1.370
8888195593,8888.195593,1.152689,0.300,0.290,1.040,11.360,1.660,1.270
8888202877,8888.202877,1.159973,0.300,0.280,1.040,11.690,1.630,1.240
8888208877,8888.208877,1.165973,0.300,0.290,1.030,11.660,1.560,1.330
8888215955,8888.215955,1.173051,0.300,0.290,1.040,11.570,1.650,1.390
8888223404,8888.223404,1.180500,0.300,0.290,1.030,11.400,1.510,1.250
8888229863,8888.229863,1.186959,0.290,0.290,1.030,11.480,1.690,1.240
8888236609,8888.236609,1.193705,0.300,0.290,1.030,11.620,1.680,1.240
8888242838,8888.242838,1.199934,0.300,0.290,1.020,11.480,1.510,1.400
8888249325,8888.249325,1.206421,0.310,0.290,1.030,11.620,1.600,1.360
8888257723,8888.257723,1.214819,0.310,0.280,1.040,11.420,1.570,1.340
8888263833,8888.263833,1.220929,0.300,0.290,1.040,11.400,1.530,1.240
8888270199,8888.270199,1.227295,0.300,0.290,1.030,11.400,1.560,1.400
8888278861,8888.278861,1.235957,0.310,0.280,1.030,11.590,1.800,1.300
8888284847,8888.284847,1.241943,0.300,0.290,1.030,11.510,1.620,1.330
8888290867,8888.290867,1.247963,0.300,0.280,1.030,11.570,1.740,1.220
8888297775,8888.297775,1.254871,0.300,0.290,1.030,11.400,1.620,1.270
8888303887,8888.303887,1.260983,0.300,0.280,1.030,11.630,1.510,1.220
8888312069,8888.312069,1.269165,0.300,0.290,1.030,11.510,1.630,1.420
8888318845,8888.318845,1.275941,0.300,0.280,1.030,11.620,1.620,1.150
8888324819,8888.324819,1.281915,0.300,0.290,1.030,11.570,1.500,1.250
8888330797,8888.330797,1.287893,0.300,0.290,1.030,11.440,1.440,1.270
8888336808,8888.336808,1.293904,0.310,0.290,1.030,11.590,1.560,1.370
8888342811,8888.342811,1.299907,0.300,0.290,1.030,11.530,1.600,1.330
8888348823,8888.348823,1.305919,0.310,0.290,1.040,11.510,1.710,1.400
8888354802,8888.354802,1.311898,0.300,0.290,1.040,11.600,1.760,1.310
8888372874,8888.372874,1.329970,0.300,0.290,1.040,11.440,1.440,1.190
8888378969,8888.378969,1.336065,0.300,0.280,1.030,11.560,1.650,1.480
8888384862,8888.384862,1.341958,0.310,0.280,1.030,11.470,1.500,1.300
8888390970,8888.390970,1.348066,0.300,0.290,1.040,11.420,1.570,1.270
8888398580,8888.398580,1.355676,0.300,0.290,1.040,11.450,1.690,1.280
8888404924,8888.404924,1.362020,0.300,0.290,1.030,11.690,1.540,1.190
8888411766,8888.411766,1.368862,0.300,0.290,1.040,11.620,1.530,1.130
8888417977,8888.417977,1.375073,0.300,0.280,1.030,11.480,1.630,1.270
8888424880,8888.424880,1.381976,0.300,0.280,1.040,11.560,1.570,1.270
8888430995,8888.430995,1.388091,0.300,0.290,1.030,11.630,1.590,1.330
8888436844,8888.436844,1.393940,0.300,0.290,1.030,11.440,1.540,1.330
8888442917,8888.442917,1.400013,0.310,0.280,1.030,11.470,1.620,1.480
8888450960,8888.450960,1.408056,0.300,0.290,1.030,11.390,1.730,1.450
8888456847,8888.456847,1.413943,0.300,0.290,1.040,11.600,1.630,1.310
8888462833,8888.462833,1.419929,0.300,0.290,1.030,11.600,1.600,1.330
8888468797,8888.468797,1.425893,0.300,0.290,1.040,11.680,1.660,1.390
8888474809,8888.474809,1.431905,0.300,0.290,1.040,11.400,1.590,1.440
8888480817,8888.480817,1.437913,0.300,0.280,1.040,11.620,1.600,1.280
8888500887,8888.500887,1.457983,0.300,0.290,1.040,11.570,1.500,1.250
8888506883,8888.506883,1.463979,0.300,0.290,1.040,11.390,1.540,1.370
8888513879,8888.513879,1.470975,0.300,0.290,1.030,11.600,1.660,1.180
8888519954,8888.519954,1.477050,0.300,0.290,1.030,11.390,1.650,1.280
8888526969,8888.526969,1.484065,0.300,0.280,1.030,11.560,1.480,1.240
8888534022,8888.534022,1.491118,0.300,0.290,1.030,11.420,1.420,1.160
8888539840,8888.539840,1.496936,0.300,0.290,1.030,11.450,1.600,1.300
8888547869,8888.547869,1.504965,0.300,0.280,1.040,11.530,1.510,1.330
8888553805,8888.553805,1.510901,0.310,0.280,1.040,11.390,1.400,1.440
8888559961,8888.559961,1.517057,0.300,0.280,1.030,11.450,1.620,1.280
8888567658,8888.567658,1.524754,0.300,0.290,1.030,11.560,1.560,1.360
8888574148,8888.574148,1.531244,0.300,0.290,1.040,11.470,1.540,1.310
8888581055,8888.581055,1.538151,0.300,0.290,1.030,11.590,1.680,1.420
8888588876,8888.588876,1.545972,0.300,0.290,1.030,11.540,1.560,1.500
8888596886,8888.596886,1.553982,0.300,0.280,1.030,11.540,1.620,1.370
8888603852,8888.603852,1.560948,0.310,0.290,1.030,11.480,1.530,1.250
8888610126,8888.610126,1.567222,0.300,0.290,1.020,11.630,1.760,1.310
8888617554,8888.617554,1.574650,0.300,0.290,1.030,11.450,1.480,1.330
8888623841,8888.623841,1.580937,0.300,0.280,1.030,11.680,1.530,1.330
8888629927,8888.629927,1.587023,0.300,0.290,1.040,11.680,1.540,1.360
8888635833,8888.635833,1.592929,0.300,0.280,1.030,11.530,1.730,1.360
8888641793,8888.641793,1.598889,0.300,0.280,1.030,11.540,1.590,1.370
8888647796,8888.647796,1.604892,0.300,0.290,1.030,11.470,1.600,1.240
8888653794,8888.653794,1.610890,0.300,0.290,1.030,11.440,1.620,1.340
8888672885,8888.672885,1.629981,0.300,0.290,1.030,11.400,1.660,1.330
8888678864,8888.678864,1.635960,0.300,0.290,1.020,11.330,1.710,1.310
8888684871,8888.684871,1.641967,0.300,0.290,1.020,11.590,1.600,1.220
8888690866,8888.690866,1.647962,0.300,0.290,1.030,11.570,1.560,1.280
8888696849,8888.696849,1.653945,0.310,0.290,1.030,11.600,1.790,1.150
8888705686,8888.705686,1.662782,0.300,0.290,1.030,11.440,1.680,1.180
8888711889,8888.711889,1.668985,0.300,0.280,1.040,11.590,1.570,1.210
8888719944,8888.719944,1.677040,0.300,0.290,1.030,11.660,1.540,1.340
8888726910,8888.726910,1.684006,0.300,0.290,1.030,11.500,1.600,1.160
8888734542,8888.734542,1.691638,0.300,0.290,1.040,11.680,1.660,1.330
8888740858,8888.740858,1.697954,0.300,0.290,1.040,11.500,1.360,1.280
8888747292,8888.747292,1.704388,0.300,0.280,1.040,11.480,1.660,1.540
8888752850,8888.752850,1.709946,0.300,0.290,1.030,11.590,1.600,1.270
8888758805,8888.758805,1.715901,0.300,0.290,1.040,11.540,1.510,1.070
8888765811,8888.765811,1.722907,0.300,0.290,1.040,11.650,1.440,1.370
8888771905,8888.771905,1.729001,0.300,0.290,1.030,11.510,1.630,1.250
8888780860,8888.780860,1.737956,0.300,0.290,1.030,11.590,1.530,1.310
8888786845,8888.786845,1.743941,0.310,0.290,1.030,11.590,1.590,1.310
8888792855,8888.792855,1.749951,0.300,0.290,1.030,11.690,1.560,1.210
8888798857,8888.798857,1.755953,0.310,0.290,1.040,11.630,1.600,1.280
8888805122,8888.805122,1.762218,0.300,0.290,1.030,11.300,1.370,1.370
8888811915,8888.811915,1.769011,0.300,0.290,1.030,11.590,1.500,1.330
8888817802,8888.817802,1.774898,0.300,0.290,1.030,11.660,1.600,1.370
8888823845,8888.823845,1.780941,0.300,0.280,1.030,11.480,1.590,1.340
8888829837,8888.829837,1.786933,0.290,0.280,1.040,11.530,1.730,1.330
8888835809,8888.835809,1.792905,0.300,0.280,1.030,11.570,1.770,1.420
8888841797,8888.841797,1.798893,0.300,0.290,1.020,11.420,1.660,1.310
8888847954,8888.847954,1.805050,0.300,0.280,1.030,11.510,1.620,1.330
8888853808,8888.853808,1.810904,0.300,0.290,1.040,11.530,1.690,1.310
8888876873,8888.876873,1.833969,0.300,0.290,1.040,11.300,1.600,1.340
8888883026,8888.883026,1.840122,0.300,0.290,1.030,11.480,1.620,1.340
8888889880,8888.889880,1.846976,0.300,0.290,1.040,11.560,1.510,1.330
8888896387,8888.896387,1.853483,0.300,0.290,1.030,11.450,1.790,1.250
8888902900,8888.902900,1.859996,0.300,0.280,1.030,11.560,1.590,1.300
8888910551,8888.910551,1.867647,0.300,0.290,1.030,11.540,1.540,1.330
8888917727,8888.917727,1.874823,0.310,0.280,1.040,11.420,1.510,1.340
8888924875,8888.924875,1.881971,0.310,0.280,1.040,11.450,1.660,1.480
8888930859,8888.930859,1.887955,0.300,0.290,1.030,11.570,1.570,1.390
8888938489,8888.938489,1.895585,0.310,0.280,1.030,11.360,1.680,1.220
8888944981,8888.944981,1.902077,0.300,0.280,1.020,11.470,1.560,1.300
8888950837,8888.950837,1.907933,0.300,0.280,1.040,11.470,1.560,1.180
8888958868,8888.958868,1.915964,0.300,0.290,1.040,11.500,1.500,1.370
8888964805,8888.964805,1.921901,0.310,0.280,1.030,11.370,1.680,1.400
8888971893,8888.971893,1.928989,0.300,0.290,1.040,11.600,1.590,1.310
8888977838,8888.977838,1.934934,0.310,0.290,1.030,11.590,1.630,1.400
8888987294,8888.987294,1.944390,0.300,0.290,1.030,11.540,1.570,1.390
8888994399,8888.994399,1.951495,0.300,0.290,1.030,11.340,1.620,1.500
8889000870,8889.000870,1.957966,0.300,0.280,1.030,11.480,1.740,1.300
8889006870,8889.006870,1.963966,0.300,0.280,1.030,11.690,1.650,1.340
8889012903,8889.012903,1.969999,0.300,0.290,1.030,11.590,1.600,1.360
8889020043,8889.020043,1.977139,0.300,0.290,1.040,11.540,1.630,1.330
8889026871,8889.026871,1.983967,0.310,0.290,1.040,11.500,1.560,1.240
8889033833,8889.033833,1.990929,0.300,0.280,1.040,11.450,1.470,1.330
8889039851,8889.039851,1.996947,0.300,0.290,1.030,11.450,1.630,1.150
8889048035,8889.048035,2.005131,0.300,0.290,1.040,11.650,1.530,1.340
8889054855,8889.054855,2.011951,0.300,0.290,1.030,11.400,1.600,1.400
8889060804,8889.060804,2.017900,0.310,0.290,1.030,11.440,1.650,1.340
8889066804,8889.066804,2.023900,0.300,0.290,1.030,11.530,1.600,1.210
8889073092,8889.073092,2.030188,0.300,0.280,1.030,11.620,1.600,1.190
8889080979,8889.080979,2.038075,0.300,0.290,1.040,11.440,1.400,1.210
8889090874,8889.090874,2.047970,0.300,0.290,1.030,11.530,1.560,1.300
8889096958,8889.096958,2.054054,0.300,0.290,1.030,11.570,1.660,1.250
8889103024,8889.103024,2.060120,0.300,0.290,1.030,11.600,1.620,1.390
8889109877,8889.109877,2.066973,0.300,0.280,1.030,11.470,1.510,1.330
8889117594,8889.117594,2.074690,0.300,0.290,1.030,11.470,1.470,1.180
8889126373,8889.126373,2.083469,0.300,0.290,1.030,11.470,1.540,1.400
8889133181,8889.133181,2.090277,0.300,0.290,1.040,11.530,1.560,1.300
8889138864,8889.138864,2.095960,0.300,0.290,1.040,11.450,1.480,1.270
8889146861,8889.146861,2.103957,0.300,0.290,1.030,11.390,1.660,1.280
8889152875,8889.152875,2.109971,0.300,0.290,1.040,11.310,1.570,1.280
8889158873,8889.158873,2.115969,0.300,0.280,1.040,11.630,1.560,1.340
8889165850,8889.165850,2.122946,0.310,0.290,1.040,11.400,1.760,1.280
8889171980,8889.171980,2.129076,0.300,0.290,1.040,11.540,1.370,1.310
8889177796,8889.177796,2.134892,0.300,0.290,1.040,11.500,1.570,1.360
8889185500,8889.185500,2.142596,0.300,0.290,1.040,11.560,1.570,1.190
8889192866,8889.192866,2.149962,0.310,0.290,1.030,11.570,1.530,1.360
8889198857,8889.198857,2.155953,0.300,0.290,1.040,11.500,1.590,1.270
8889204974,8889.204974,2.162070,0.300,0.280,1.030,11.390,1.680,1.190
8889211163,8889.211163,2.168259,0.300,0.290,1.040,11.340,1.800,1.280
8889217915,8889.217915,2.175011,0.300,0.290,1.040,11.540,1.620,1.310
8889225911,8889.225911,2.183007,0.300,0.290,1.040,11.600,1.680,1.280
8889231873,8889.231873,2.188969,0.300,0.290,1.040,11.590,1.650,1.360
8889237843,8889.237843,2.194939,0.300,0.290,1.030,11.340,1.650,1.250
8889243810,8889.243810,2.200906,0.300,0.280,1.030,11.470,1.690,1.220
8889249808,8889.249808,2.206904,0.300,0.280,1.030,11.500,1.440,1.340
8889255804,8889.255804,2.212900,0.300,0.290,1.030,11.500,1.630,1.280
8889261902,8889.261902,2.218998,0.300,0.290,1.040,11.450,1.540,1.440
8889280542,8889.280542,2.237638,0.300,0.290,1.030,11.570,1.390,1.270
8889286863,8889.286863,2.243959,0.300,0.290,1.040,11.570,1.690,1.440
8889293121,8889.293121,2.250217,0.300,0.290,1.040,11.530,1.620,1.190
8889299858,8889.299858,2.256954,0.300,0.290,1.040,11.450,1.660,1.150
8889305854,8889.305854,2.262950,0.300,0.290,1.040,11.560,1.470,1.250
8889312922,8889.312922,2.270018,0.300,0.290,1.030,11.570,1.710,1.150
8889321012,8889.321012,2.278108,0.310,0.290,1.040,11.420,1.660,1.390
8889326884,8889.326884,2.283980,0.290,0.290,1.030,11.560,1.420,1.310
8889332872,8889.332872,2.289968,0.300,0.290,1.030,11.590,1.440,1.310
8889338842,8889.338842,2.295938,0.310,0.280,1.030,11.530,1.630,1.400
8889344859,8889.344859,2.301955,0.300,0.290,1.030,11.450,1.600,1.360
8889350810,8889.350810,2.307906,0.300,0.290,1.030,11.440,1.770,1.250
8889356802,8889.356802,2.313898,0.300,0.280,1.040,11.530,1.510,1.390
8889367842,8889.367842,2.324938,0.300,0.290,1.050,11.500,1.590,1.270
8889515018,8889.515018,2.472114,0.300,0.290,1.040,11.470,1.450,1.370
8889522145,8889.522145,2.479241,0.300,0.280,1.030,11.560,1.790,1.300
8889528023,8889.528023,2.485119,0.300,0.290,1.040,11.660,1.690,1.250
8889534969,8889.534969,2.492065,0.300,0.290,1.020,11.400,1.500,1.280
8889541851,8889.541851,2.498947,0.310,0.290,1.040,11.530,1.710,1.300
8889548868,8889.548868,2.505964,0.300,0.280,1.030,11.340,1.770,1.250
8889555789,8889.555789,2.512885,0.300,0.290,1.030,11.500,1.590,1.330
8889561832,8889.561832,2.518928,0.300,0.280,1.030,11.590,1.590,1.280
8889569870,8889.569870,2.526966,0.310,0.290,1.040,11.540,1.530,1.220
8889576103,8889.576103,2.533199,0.300,0.290,1.040,11.570,1.590,1.280
8889581836,8889.581836,2.538932,0.300,0.290,1.030,11.530,1.660,1.400
8889587800,8889.587800,2.544896,0.300,0.290,1.040,11.620,1.650,1.440
8889595422,8889.595422,2.552518,0.300,0.290,1.030,11.390,1.710,1.310
8889601857,8889.601857,2.558953,0.290,0.290,1.030,11.560,1.740,1.440
8889607857,8889.607857,2.564953,0.300,0.290,1.030,11.560,1.420,1.300
8889613864,8889.613864,2.570960,0.300,0.290,1.030,11.470,1.560,1.190
8889619867,8889.619867,2.576963,0.300,0.290,1.030,11.400,1.530,1.250
8889628083,8889.628083,2.585179,0.310,0.290,1.040,11.500,1.590,1.370
8889635871,8889.635871,2.592967,0.300,0.290,1.030,11.450,1.560,1.040
8889642379,8889.642379,2.599475,0.300,0.290,1.030,11.440,1.690,1.370
