t_us,t_s,t_rel,ax,ay,az,gx,gy,gz
63719368868,63719.368868,0.000000,0.780,-0.090,0.870,4.020,4.980,6.930
63719377245,63719.377245,0.008377,0.730,-0.090,0.730,9.920,1.300,9.920
63719383149,63719.383149,0.014281,0.710,-0.080,0.770,16.020,-1.240,12.210
63719389122,63719.389122,0.020254,0.640,-0.030,0.740,25.710,-2.560,14.660
63719395158,63719.395158,0.026290,0.710,-0.110,0.720,28.030,-7.530,12.410
63719402297,63719.402297,0.033429,0.750,0.030,0.720,19.100,-20.780,-2.820
63719408175,63719.408175,0.039307,0.750,0.060,0.680,14.890,-34.490,-18.050
63719414196,63719.414196,0.045328,0.760,0.040,0.700,9.690,-48.120,-33.600
63719420585,63719.420585,0.051717,0.770,0.000,0.710,2.090,-59.130,-44.050
63719427192,63719.427192,0.058324,0.760,-0.050,0.720,-0.490,-66.460,-47.660
63719433182,63719.433182,0.064314,0.750,-0.030,0.740,0.810,-69.330,-46.670
63719439188,63719.439188,0.070320,0.750,-0.030,0.790,4.230,-68.530,-40.660
63719446056,63719.446056,0.077188,0.800,-0.050,0.810,12.090,-64.350,-29.070
63719452250,63719.452250,0.083382,0.840,-0.070,0.840,18.660,-57.600,-15.370
63719458326,63719.458326,0.089458,0.890,-0.080,0.860,24.810,-48.170,-1.080
63719464199,63719.464199,0.095331,0.930,-0.060,0.850,28.150,-37.150,13.790
63719471178,63719.471178,0.102310,0.960,-0.110,0.860,29.790,-22.150,32.170
63719478252,63719.478252,0.109384,0.940,-0.120,0.860,29.570,-4.790,47.970
63719484373,63719.484373,0.115505,0.910,-0.110,0.820,27.150,9.850,56.500
63719491154,63719.491154,0.122286,0.860,-0.050,0.790,22.920,23.300,59.630
63719497174,63719.497174,0.128306,0.830,-0.030,0.750,20.850,32.730,55.040
63719503187,63719.503187,0.134319,0.790,0.010,0.720,19.300,39.440,45.910
63719509269,63719.509269,0.140401,0.780,0.010,0.700,18.170,43.180,35.250
63719517191,63719.517191,0.148323,0.750,0.000,0.640,14.700,42.810,23.300
63719523175,63719.523175,0.154307,0.730,-0.020,0.610,11.600,39.830,17.710
63719529185,63719.529185,0.160317,0.720,-0.030,0.630,7.160,35.500,14.630
63719535189,63719.535189,0.166321,0.710,-0.040,0.660,1.590,30.670,14.430
63719541179,63719.541179,0.172311,0.690,-0.070,0.690,-2.500,25.950,15.770
63719547218,63719.547218,0.178350,0.670,-0.100,0.720,-4.140,21.240,17.220
63719553976,63719.553976,0.185108,0.650,-0.130,0.720,-4.090,15.440,18.840
63719560271,63719.560271,0.191403,0.650,-0.120,0.740,-2.120,9.650,16.950
63719567278,63719.567278,0.198410,0.690,-0.120,0.770,1.010,4.560,11.340
63719573187,63719.573187,0.204319,0.740,-0.110,0.770,3.240,1.130,4.960
63719580183,63719.580183,0.211315,0.780,-0.090,0.780,5.160,-0.490,-3.250
63719586156,63719.586156,0.217288,0.810,-0.090,0.750,6.400,1.040,-8.140
63719593183,63719.593183,0.224315,0.840,-0.110,0.770,7.540,5.020,-7.680
63719599352,63719.599352,0.230484,0.840,-0.090,0.710,8.560,9.800,-4.690
63719606641,63719.606641,0.237773,0.840,-0.070,0.730,8.490,15.340,1.570
63719613193,63719.613193,0.244325,0.810,-0.050,0.710,8.810,20.060,4.850
63719619169,63719.619169,0.250301,0.830,-0.020,0.730,8.310,23.770,7.370
63719625627,63719.625627,0.256759,0.930,0.040,0.770,2.150,30.730,9.950
63719632172,63719.632172,0.263304,0.900,0.020,0.710,-7.420,38.850,12.960
63719638175,63719.638175,0.269307,0.860,-0.050,0.690,-15.360,43.560,16.780
63719645176,63719.645176,0.276308,0.850,-0.060,0.740,-24.630,48.580,20.380
63719651593,63719.651593,0.282725,0.860,-0.070,0.750,-32.990,53.010,22.660
63719658215,63719.658215,0.289347,0.850,-0.090,0.810,-39.180,57.400,22.120
63719664866,63719.664866,0.295998,0.820,-0.110,0.790,-45.100,61.400,23.180
63719671201,63719.671201,0.302333,0.740,-0.060,0.770,-51.130,62.670,22.030
63719678190,63719.678190,0.309322,0.720,-0.010,0.790,-57.420,63.560,18.960
63719684185,63719.684185,0.315317,0.700,-0.090,0.800,-58.660,65.510,12.990
63719690876,63719.690876,0.322008,0.640,-0.130,0.770,-57.560,64.870,8.110
63719697164,63719.697164,0.328296,0.660,-0.130,0.760,-53.980,62.080,4.690
63719703615,63719.703615,0.334747,0.620,-0.160,0.800,-50.470,59.280,4.270
63719711191,63719.711191,0.342323,0.550,-0.210,0.830,-41.770,51.650,4.660
63719717172,63719.717172,0.348304,0.560,-0.210,0.820,-32.660,44.340,3.210
63719724183,63719.724183,0.355315,0.530,-0.200,0.860,-17.820,34.000,2.310
63719730238,63719.730238,0.361370,0.530,-0.240,0.830,-3.070,24.210,3.570
63719737186,63719.737186,0.368318,0.570,-0.220,0.800,12.150,12.020,5.220
63719743179,63719.743179,0.374311,0.610,-0.200,0.800,21.050,2.760,4.080
63719749192,63719.749192,0.380324,0.650,-0.180,0.770,25.110,-4.640,2.520
63719756857,63719.756857,0.387989,0.720,-0.170,0.810,24.060,-8.380,1.680
63719763190,63719.763190,0.394322,0.770,-0.160,0.850,17.240,-6.690,2.120
63719769181,63719.769181,0.400313,0.800,-0.160,0.860,9.940,-2.610,2.000
63719777369,63719.777369,0.408501,0.770,-0.180,0.860,3.080,3.690,0.310
63719783279,63719.783279,0.414411,0.740,-0.200,0.820,0.470,6.410,-1.850
63719789187,63719.789187,0.420319,0.680,-0.200,0.870,-1.390,8.890,-3.790
63719795157,63719.795157,0.426289,0.650,-0.180,0.850,-2.820,10.950,-6.700
63719801119,63719.801119,0.432251,0.650,-0.150,0.840,-3.070,11.220,-9.730
63719807122,63719.807122,0.438254,0.670,-0.170,0.820,-1.630,10.110,-11.440
63719813150,63719.813150,0.444282,0.700,-0.180,0.790,0.700,7.620,-10.460
63719821188,63719.821188,0.452320,0.730,-0.150,0.790,4.560,4.030,-7.600
63719827189,63719.827189,0.458321,0.730,-0.140,0.780,6.340,1.070,-5.110
63719833185,63719.833185,0.464317,0.720,-0.130,0.780,6.470,-1.970,-2.180
63719839185,63719.839185,0.470317,0.710,-0.120,0.760,5.530,-5.470,1.100
63719845313,63719.845313,0.476445,0.700,-0.120,0.750,4.990,-8.900,3.620
63719851199,63719.851199,0.482331,0.690,-0.140,0.760,5.270,-11.850,5.370
63719858378,63719.858378,0.489510,0.690,-0.150,0.780,6.140,-14.240,6.290
63719865206,63719.865206,0.496338,0.690,-0.160,0.760,7.730,-16.170,5.650
63719871179,63719.871179,0.502311,0.700,-0.160,0.780,9.330,-16.750,4.560
63719877186,63719.877186,0.508318,0.700,-0.150,0.780,10.440,-15.790,3.390
63719883596,63719.883596,0.514728,0.730,-0.160,0.790,10.920,-13.880,3.180
63719890191,63719.890191,0.521323,0.740,-0.160,0.820,11.100,-9.740,3.940
63719896311,63719.896311,0.527443,0.730,-0.180,0.800,11.570,-5.130,5.360
63719903155,63719.903155,0.534287,0.730,-0.170,0.800,12.380,0.210,7.400
63719909200,63719.909200,0.540332,0.720,-0.170,0.800,12.470,4.640,9.050
63719915200,63719.915200,0.546332,0.720,-0.170,0.790,12.950,8.930,9.130
63719922228,63719.922228,0.553360,0.730,-0.180,0.810,13.820,12.920,7.570
63719928180,63719.928180,0.559312,0.730,-0.190,0.820,15.010,15.180,5.420
63719934211,63719.934211,0.565343,0.700,-0.180,0.800,15.690,15.370,2.790
63719940180,63719.940180,0.571312,0.680,-0.160,0.800,14.690,14.050,0.920
63719946194,63719.946194,0.577326,0.670,-0.160,0.810,12.670,11.360,0.340
63719952178,63719.952178,0.583310,0.670,-0.150,0.800,10.870,8.320,0.290
63719958200,63719.958200,0.589332,0.690,-0.150,0.810,9.560,4.640,0.320
63719964308,63719.964308,0.595440,0.700,-0.160,0.820,9.110,1.010,0.260
63719970685,63719.970685,0.601817,0.700,-0.160,0.820,8.780,-2.790,-0.080
63719977185,63719.977185,0.608317,0.700,-0.150,0.830,8.090,-6.760,-0.640
63719983186,63719.983186,0.614318,0.690,-0.160,0.830,7.560,-10.500,-1.360
63719990193,63719.990193,0.621325,0.700,-0.160,0.830,7.690,-14.790,-2.600
